"REF_DATE","GEO","DGUID","Measure","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Weighted average, cities measured","","Amphetamine","Load per capita (milligrams per one thousand people per day)","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927744","1.1.1","122.18","","","","2"
"2022-01","Weighted average, cities measured","","Amphetamine","Low 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927745","1.1.2","88.78","","","","2"
"2022-01","Weighted average, cities measured","","Amphetamine","High 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927746","1.1.3","155.56","","","","2"
"2022-01","Weighted average, cities measured","","Amphetamine","Standard error, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927747","1.1.4","12.60","","","","2"
"2022-01","Weighted average, cities measured","","Amphetamine","Imputation rate, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927748","1.1.5","4.76","","","","2"
"2022-01","Weighted average, cities measured","","Cannabis (THC-COOH)","Load per capita (milligrams per one thousand people per day)","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927749","1.2.1","343.36","","","","2"
"2022-01","Weighted average, cities measured","","Cannabis (THC-COOH)","Low 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927750","1.2.2","325.42","","","","2"
"2022-01","Weighted average, cities measured","","Cannabis (THC-COOH)","High 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927751","1.2.3","361.32","","","","2"
"2022-01","Weighted average, cities measured","","Cannabis (THC-COOH)","Standard error, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927752","1.2.4","6.24","","","","2"
"2022-01","Weighted average, cities measured","","Cannabis (THC-COOH)","Imputation rate, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927753","1.2.5","4.76","","","","2"
"2022-01","Weighted average, cities measured","","Cocaine (Benzoylecgonine)","Load per capita (milligrams per one thousand people per day)","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927754","1.3.1","1054.44","","","","2"
"2022-01","Weighted average, cities measured","","Cocaine (Benzoylecgonine)","Low 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927755","1.3.2","894.38","","","","2"
"2022-01","Weighted average, cities measured","","Cocaine (Benzoylecgonine)","High 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927756","1.3.3","1214.48","","","","2"
"2022-01","Weighted average, cities measured","","Cocaine (Benzoylecgonine)","Standard error, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927757","1.3.4","60.86","","","","2"
"2022-01","Weighted average, cities measured","","Cocaine (Benzoylecgonine)","Imputation rate, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927758","1.3.5","4.76","","","","2"
"2022-01","Weighted average, cities measured","","Codeine","Load per capita (milligrams per one thousand people per day)","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927759","1.4.1","203.04","","","","2"
"2022-01","Weighted average, cities measured","","Codeine","Low 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927760","1.4.2","191.40","","","","2"
"2022-01","Weighted average, cities measured","","Codeine","High 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927761","1.4.3","214.66","","","","2"
"2022-01","Weighted average, cities measured","","Codeine","Standard error, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927762","1.4.4","4.02","","","","2"
"2022-01","Weighted average, cities measured","","Codeine","Imputation rate, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927763","1.4.5","4.76","","","","2"
"2022-01","Weighted average, cities measured","","Ecstasy (MDMA)","Load per capita (milligrams per one thousand people per day)","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927764","1.5.1","14.80","","","","2"
"2022-01","Weighted average, cities measured","","Ecstasy (MDMA)","Low 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927765","1.5.2","4.30","","","","2"
"2022-01","Weighted average, cities measured","","Ecstasy (MDMA)","High 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927766","1.5.3","25.30","","","","2"
"2022-01","Weighted average, cities measured","","Ecstasy (MDMA)","Standard error, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927767","1.5.4","3.98","","","","2"
"2022-01","Weighted average, cities measured","","Ecstasy (MDMA)","Imputation rate, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927768","1.5.5","5.72","","","","2"
"2022-01","Weighted average, cities measured","","Fentanyl (Norfentanyl)","Load per capita (milligrams per one thousand people per day)","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927769","1.6.1","9.86","","","","2"
"2022-01","Weighted average, cities measured","","Fentanyl (Norfentanyl)","Low 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927770","1.6.2","8.60","","","","2"
"2022-01","Weighted average, cities measured","","Fentanyl (Norfentanyl)","High 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927771","1.6.3","11.10","","","","2"
"2022-01","Weighted average, cities measured","","Fentanyl (Norfentanyl)","Standard error, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927772","1.6.4","0.48","","","","2"
"2022-01","Weighted average, cities measured","","Fentanyl (Norfentanyl)","Imputation rate, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927773","1.6.5","4.76","","","","2"
"2022-01","Weighted average, cities measured","","Methadone","Load per capita (milligrams per one thousand people per day)","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927774","1.7.1","21.34","","","","2"
"2022-01","Weighted average, cities measured","","Methadone","Low 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927775","1.7.2","19.56","","","","2"
"2022-01","Weighted average, cities measured","","Methadone","High 95% confidence interval, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927776","1.7.3","23.14","","","","2"
"2022-01","Weighted average, cities measured","","Methadone","Standard error, load per capita","Milligrams per one thousand people per day (mg/1000 people/day)","442","units","0","v1566927777","1.7.4","0.68","","","","2"
